iter	Logloss
0	0.679161038
5	0.622845199
10	0.5853221159
15	0.5621196064
20	0.5457943762
25	0.5335049527
30	0.5246078361
35	0.5173161417
40	0.5121385305
45	0.5057798525
50	0.5011076581
55	0.4973504296
60	0.4933552159
65	0.4883656802
70	0.4840654363
75	0.4802476093
80	0.477444484
85	0.4737130836
90	0.4707456728
95	0.4677662422
100	0.4652131635
105	0.4620681165
110	0.4598860733
115	0.4575692744
120	0.4545482941
125	0.4518086786
130	0.4495641653
135	0.4476769624
140	0.4448332025
145	0.4430847896
150	0.4408539598
155	0.4386556128
160	0.4351995881
165	0.4332281629
170	0.4312020037
175	0.4284520736
180	0.4266798705
185	0.4234041854
190	0.4200593341
195	0.4175414831
200	0.4141397765
205	0.4126142096
210	0.4100250296
215	0.4087480119
220	0.4060261559
225	0.4036507966
230	0.4014006269
235	0.3992518566
240	0.3975335974
245	0.3958435371
250	0.3937840632
255	0.3914581975
260	0.3898859651
265	0.38808182
270	0.3863992876
275	0.384394132
280	0.3820773331
285	0.3808228995
290	0.378367477
295	0.3762603812
300	0.3741503324
305	0.3724341943
310	0.3700612473
315	0.3677889094
320	0.3657736471
325	0.3631326029
330	0.3607344515
335	0.3589820875
340	0.3567845723
345	0.3555580048
350	0.3540063185
355	0.3520041159
360	0.3501670305
365	0.3485144022
370	0.3466985283
375	0.3453673797
380	0.3440724985
385	0.3431078103
390	0.3411238246
395	0.3397864996
400	0.3385670235
405	0.3375193607
410	0.3357124082
415	0.3340681814
420	0.3329575703
425	0.3316465725
430	0.3300876286
435	0.3285578609
440	0.32751103
445	0.3265325959
450	0.3258504994
455	0.3254526583
460	0.3240006247
465	0.323157882
470	0.3216699136
475	0.3206465193
480	0.3187264178
485	0.3169277211
490	0.31554136
495	0.3142654653
499	0.3137387121
