iter	Passed	Remaining
0	81	40605
1	167	41644
2	241	40054
3	323	40125
4	404	39999
5	480	39562
6	567	39950
7	652	40133
8	731	39891
9	807	39563
10	890	39606
11	967	39354
12	1041	39017
13	1118	38838
14	1207	39039
15	1304	39455
16	1389	39491
17	1466	39269
18	1553	39318
19	1640	39362
20	1717	39174
21	1799	39099
22	1881	39029
23	1966	38996
24	2050	38950
25	2123	38717
26	2200	38549
27	2281	38466
28	2377	38620
29	2467	38654
30	2561	38747
31	2644	38669
32	2722	38529
33	2805	38453
34	2887	38364
35	2968	38261
36	3052	38198
37	3149	38289
38	3230	38186
39	3312	38091
40	3391	37962
41	3473	37880
42	3569	37933
43	3641	37737
44	3718	37594
45	3802	37528
46	3885	37444
47	3969	37380
48	4045	37231
49	4133	37201
50	4211	37079
51	4288	36950
52	4401	37118
53	4509	37241
54	4591	37151
55	4685	37147
56	4765	37034
57	4848	36949
58	4923	36799
59	5003	36694
60	5087	36616
61	5172	36540
62	5254	36450
63	5333	36334
64	5419	36266
65	5514	36263
66	5595	36159
67	5677	36067
68	5782	36120
69	5857	35980
70	5937	35877
71	6020	35785
72	6098	35673
73	6171	35525
74	6249	35413
75	6331	35321
76	6409	35212
77	6490	35115
78	6584	35090
79	6673	35037
80	6754	34938
81	6842	34881
82	6926	34796
83	7015	34745
84	7111	34721
85	7196	34643
86	7286	34589
87	7365	34484
88	7465	34475
89	7567	34473
90	7647	34369
91	7735	34304
92	7836	34293
93	7931	34255
94	8027	34223
95	8115	34153
96	8200	34071
97	8280	33968
98	8358	33854
99	8446	33785
100	8527	33686
101	8623	33648
102	8718	33602
103	8807	33538
104	8895	33464
105	8974	33357
106	9055	33261
107	9134	33153
108	9215	33057
109	9304	32987
110	9390	32907
111	9472	32817
112	9560	32742
113	9648	32668
114	9725	32560
115	9811	32479
116	9896	32395
117	9987	32331
118	10072	32247
119	10154	32155
120	10234	32057
121	10318	31971
122	10398	31870
123	10484	31790
124	10574	31722
125	10656	31632
126	10738	31537
127	10827	31468
