iter	Passed	Remaining
0	44	22131
1	87	21765
2	139	23084
3	180	22418
4	221	21942
5	273	22532
6	321	22657
7	375	23083
8	422	23067
9	461	22623
10	497	22130
11	536	21816
12	569	21329
13	606	21044
14	639	20688
15	668	20210
16	699	19873
17	741	19847
18	781	19785
19	819	19662
20	855	19521
21	887	19287
22	937	19433
23	982	19495
24	1036	19688
25	1073	19562
26	1114	19527
27	1153	19447
28	1194	19394
29	1236	19375
30	1293	19567
31	1345	19684
32	1398	19785
33	1448	19854
34	1500	19940
35	1566	20186
36	1624	20323
37	1672	20336
38	1714	20265
39	1764	20296
40	1804	20202
41	1843	20104
42	1882	20002
43	1922	19928
44	1979	20019
45	2030	20037
46	2072	19973
47	2108	19851
48	2149	19787
49	2195	19758
50	2228	19621
51	2263	19499
52	2301	19408
53	2335	19290
54	2380	19258
55	2414	19146
56	2448	19028
57	2482	18915
58	2516	18807
59	2552	18719
60	2586	18616
61	2622	18523
62	2654	18409
63	2689	18320
64	2745	18371
65	2779	18277
66	2813	18185
67	2848	18094
68	2894	18077
69	2932	18014
70	2970	17951
71	3013	17911
72	3055	17873
73	3095	17822
74	3135	17770
75	3175	17716
76	3217	17674
77	3256	17617
78	3294	17558
79	3332	17496
80	3386	17518
81	3422	17445
82	3457	17370
83	3494	17304
84	3529	17234
85	3565	17164
86	3604	17112
87	3658	17129
88	3725	17203
89	3781	17225
90	3827	17204
91	3879	17206
92	3929	17194
93	3974	17167
94	4025	17163
95	4078	17163
96	4118	17111
97	4161	17070
98	4217	17083
99	4272	17088
100	4323	17079
101	4368	17046
102	4409	16995
103	4467	17010
104	4526	17026
105	4580	17024
106	4623	16980
107	4666	16936
108	4742	17010
109	4803	17031
110	4875	17085
111	4951	17153
112	4994	17105
113	5051	17104
114	5100	17076
115	5140	17016
116	5176	16944
117	5212	16872
118	5245	16794
119	5279	16719
120	5313	16643
121	5352	16582
122	5386	16508
123	5423	16444
124	5461	16385
125	5499	16322
126	5538	16265
127	5578	16213
128	5612	16141
129	5649	16080
130	5683	16008
131	5715	15933
132	5751	15870
133	5785	15801
134	5819	15733
135	5854	15668
136	5889	15603
137	5922	15534
138	5966	15494
139	6000	15429
140	6034	15364
141	6078	15324
142	6113	15262
143	6148	15200
144	6197	15174
145	6242	15135
146	6288	15101
147	6334	15065
148	6386	15044
149	6439	15026
150	6498	15020
151	6544	14982
152	6590	14947
153	6631	14900
154	6668	14843
155	6712	14801
156	6753	14754
157	6792	14703
158	6830	14648
159	6864	14586
160	6914	14558
161	6948	14497
162	6985	14441
163	7017	14378
164	7061	14337
165	7110	14305
166	7145	14248
167	7183	14195
168	7215	14132
169	7264	14102
170	7299	14044
171	7333	13983
172	7376	13943
173	7410	13883
174	7447	13831
175	7480	13771
176	7514	13713
177	7550	13658
178	7587	13605
179	7622	13551
180	7667	13513
181	7701	13457
182	7738	13404
183	7773	13350
184	7809	13297
185	7857	13264
186	7899	13222
187	7958	13207
188	7996	13158
189	8034	13108
190	8081	13074
191	8120	13025
192	8166	12990
193	8201	12935
194	8234	12880
195	8272	12830
196	8323	12801
197	8367	12762
198	8410	12721
199	8459	12689
200	8513	12664
201	8551	12615
202	8607	12593
203	8650	12551
204	8692	12509
205	8753	12492
206	8821	12487
207	8875	12459
208	8916	12415
209	8961	12375
210	9007	12337
211	9045	12288
212	9087	12245
213	9134	12207
214	9176	12164
215	9235	12142
216	9289	12114
217	9354	12100
218	9398	12059
219	9448	12025
220	9499	11992
221	9544	11952
222	9589	11911
223	9641	11879
224	9689	11842
225	9736	11804
226	9783	11765
227	9827	11723
228	9868	11677
229	9920	11646
230	9974	11615
231	10033	11590
232	10083	11554
233	10137	11523
234	10178	11478
235	10222	11435
236	10281	11409
237	10330	11372
238	10368	11323
239	10429	11298
240	10488	11271
241	10531	11227
242	10575	11184
243	10618	11141
244	10673	11109
245	10723	11072
246	10766	11028
247	10813	10988
248	10859	10946
249	10904	10904
250	10953	10865
251	11013	10838
252	11076	10813
253	11117	10767
254	11180	10741
255	11236	10709
256	11283	10668
257	11330	10628
258	11390	10598
259	11449	10568
260	11489	10521
261	11528	10472
262	11570	10426
263	11612	10381
264	11653	10334
265	11689	10282
266	11727	10234
267	11766	10186
268	11802	10135
269	11843	10088
270	11888	10045
271	11929	9999
272	11968	9951
273	12004	9901
274	12054	9863
275	12092	9814
276	12147	9779
277	12188	9732
278	12225	9683
279	12261	9633
280	12299	9585
281	12338	9538
282	12376	9490
283	12411	9439
284	12449	9391
285	12495	9349
286	12546	9311
287	12588	9266
288	12625	9217
289	12658	9166
290	12695	9118
291	12734	9071
292	12772	9023
293	12811	8976
294	12847	8928
295	12880	8877
296	12920	8830
297	12960	8785
298	12996	8736
299	13033	8689
300	13074	8643
301	13114	8597
302	13171	8563
303	13208	8516
304	13245	8468
305	13284	8422
306	13330	8380
307	13371	8335
308	13406	8286
309	13445	8240
310	13487	8196
311	13525	8150
312	13565	8104
313	13602	8057
314	13641	8011
315	13685	7968
316	13735	7929
317	13777	7885
318	13821	7842
319	13860	7796
320	13907	7755
321	13948	7710
322	14005	7674
323	14052	7633
324	14112	7599
325	14166	7561
326	14232	7529
327	14286	7491
328	14340	7453
329	14385	7410
330	14453	7379
331	14507	7341
332	14559	7301
333	14623	7267
334	14664	7222
335	14717	7183
336	14767	7142
337	14807	7097
338	14854	7054
339	14897	7010
340	14939	6965
341	14977	6919
342	15027	6878
343	15070	6834
344	15117	6792
345	15162	6748
346	15200	6702
347	15245	6658
348	15286	6613
349	15324	6567
350	15358	6519
351	15391	6471
352	15431	6425
353	15466	6378
354	15498	6330
355	15539	6285
356	15573	6238
357	15610	6191
358	15648	6146
359	15686	6100
360	15728	6056
361	15774	6013
362	15808	5966
363	15842	5919
364	15876	5872
365	15909	5824
366	15945	5778
367	15979	5731
368	16013	5684
369	16046	5638
370	16088	5594
371	16121	5547
372	16168	5505
373	16206	5459
374	16242	5414
375	16285	5370
376	16319	5324
377	16352	5277
378	16388	5232
379	16423	5186
380	16457	5140
381	16491	5094
382	16523	5047
383	16557	5001
384	16595	4957
385	16633	4912
386	16678	4870
387	16711	4823
388	16744	4778
389	16777	4732
390	16811	4686
391	16848	4642
392	16883	4596
393	16918	4551
394	16956	4507
395	16993	4463
396	17028	4418
397	17071	4375
398	17126	4335
399	17175	4293
400	17222	4251
401	17261	4208
402	17299	4163
403	17334	4118
404	17368	4074
405	17401	4028
406	17437	3984
407	17481	3941
408	17513	3896
409	17549	3852
410	17584	3807
411	17619	3763
412	17655	3719
413	17703	3677
414	17739	3633
415	17774	3589
416	17810	3544
417	17847	3501
418	17885	3457
419	17931	3415
420	17966	3371
421	18010	3328
422	18044	3284
423	18096	3243
424	18134	3200
425	18184	3158
426	18225	3115
427	18259	3071
428	18302	3029
429	18337	2985
430	18372	2941
431	18405	2897
432	18441	2853
433	18487	2811
434	18521	2767
435	18556	2723
436	18593	2680
437	18633	2637
438	18672	2594
439	18707	2551
440	18746	2508
441	18781	2464
442	18818	2421
443	18853	2377
444	18891	2334
445	18925	2291
446	18963	2248
447	19007	2206
448	19046	2163
449	19096	2121
450	19136	2079
451	19183	2037
452	19251	1997
453	19326	1958
454	19393	1918
455	19478	1879
456	19537	1838
457	19589	1796
458	19633	1753
459	19693	1712
460	19739	1669
461	19784	1627
462	19839	1585
463	19891	1543
464	19941	1501
465	19982	1457
466	20024	1415
467	20073	1372
468	20113	1329
469	20155	1286
470	20197	1243
471	20246	1201
472	20298	1158
473	20339	1115
474	20382	1072
475	20431	1030
476	20469	987
477	20506	943
478	20548	900
479	20594	858
480	20635	815
481	20682	772
482	20725	729
483	20774	686
484	20814	643
485	20860	600
486	20915	558
487	20965	515
488	21014	472
489	21065	429
490	21109	386
491	21148	343
492	21195	300
493	21251	258
494	21305	215
495	21350	172
496	21404	129
497	21452	86
498	21497	43
499	21535	0
